action, reward, game over
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
5,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,25.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
3,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,25.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
4,300.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
3,0.0,False
3,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
3,0.0,False
3,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,25.0,False
0,0.0,False
0,0.0,False
3,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,25.0,False
0,0.0,False
0,0.0,False
3,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,25.0,False
0,0.0,False
0,0.0,False
0,0.0,False
4,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
2,0.0,False
2,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,25.0,False
0,0.0,False
0,0.0,False
0,0.0,False
2,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
2,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
