action, reward, game over
2,0.0,False
2,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
2,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
0,0.0,False
